Gene,Si,Koni,Koffi,SKoffi,Exi
PF3D7-1425800,0.000457,141.9217,107.947901,4e-06,0.00026
PF3D7-1425900,0.001534,147.21691,105.21997,1.5e-05,0.000878
PF3D7-1426000,0.005088,2.881921,4.034798,0.001269,0.00212
PF3D7-1426100,0.002479,12.710943,15.275649,0.00017,0.001128
PF3D7-1426200,0.001367,80.68012,93.03435,1.7e-05,0.000631
PF3D7-1426300,0.000854,159.545476,163.01512,5e-06,0.000405
PF3D7-1426400,0.003025,121.15483,59.422894,5.2e-05,0.001981
PF3D7-1426500,0.001047,132.030402,179.137096,6e-06,0.00044
PF3D7-1426600,0.000353,88.502419,32.595611,1.1e-05,0.00025
PF3D7-1426700,0.000491,160.220827,218.740213,3e-06,0.000207
PF3D7-1426800,0.000901,7.514889,9.169887,0.000101,0.000406
PF3D7-1426900,0.001477,109.097908,46.774925,3.3e-05,0.001026
PF3D7-1427000,0.000476,133.966023,114.029167,4e-06,0.000255
PF3D7-1427100,0.002081,3.457246,4.417365,0.000475,0.000914
PF3D7-1427200,0.00092,88.7255,39.807724,2.5e-05,0.000634
PF3D7-1427300,0.000369,235.574899,114.302612,3e-06,0.000248
PF3D7-1427400.1,0.000619,125.909264,53.699652,1.3e-05,0.000435
PF3D7-1427400.2,0.000959,227.462116,106.476097,9e-06,0.00065
PF3D7-1427500,0.000397,173.065474,58.228131,8e-06,0.000298
PF3D7-1427600,0.000926,128.762036,155.871731,6e-06,0.000416
PF3D7-1427700,0.001791,217.330735,72.258578,2.5e-05,0.001339
PF3D7-1427800,0.00093,155.393842,53.476444,1.8e-05,0.000689
PF3D7-1427900,0.000451,156.100094,55.860232,9e-06,0.000332
PF3D7-1428000,0.000908,216.443413,303.493099,3e-06,0.000375
PF3D7-1428100,0.00127,56.857156,46.05621,3e-05,0.000676
PF3D7-1428200,0.002732,2.076929,3.223908,0.000851,0.00107
PF3D7-1428300,0.001483,52.780266,41.745936,3.7e-05,0.000796
PF3D7-1428400,0.000253,217.946072,138.107909,2e-06,0.000154
PF3D7-1428500,0.000757,7.411699,9.054323,8.5e-05,0.000341
PF3D7-1428600,0.001087,89.671282,45.560055,2.7e-05,0.000698
PF3D7-1428700,0.000767,141.694767,158.756703,5e-06,0.000362
PF3D7-1428800.1,0.000727,100.434059,57.283247,1.5e-05,0.000456
PF3D7-1428800.2,0.00132,112.855063,43.756585,3.1e-05,0.000927
PF3D7-1428900,0.00047,100.623115,139.959159,3e-06,0.000195
PF3D7-1429000,0.001949,188.552219,54.979483,3.6e-05,0.001494
PF3D7-1429100,0.00064,94.520729,55.189461,1.2e-05,0.000402
PF3D7-1429200,0.000487,169.6481,213.008268,3e-06,0.000217
PF3D7-1429300,0.000885,99.750888,52.983572,1.7e-05,0.000558
PF3D7-1429400,0.000288,76.524926,42.91858,7e-06,0.000181
PF3D7-1429500,0.001035,120.272458,94.228541,1.2e-05,0.000577
PF3D7-1429600,0.001568,171.570165,62.404236,2.6e-05,0.001127
PF3D7-1429700,0.000964,169.58175,75.434077,1.3e-05,0.000664
PF3D7-1429800,0.000652,76.144044,49.809776,1.3e-05,0.000386
PF3D7-1429900,0.00032,168.083419,94.995292,3e-06,0.000201
PF3D7-1430000,0.000886,96.845543,41.728105,2.2e-05,0.000615
PF3D7-1430100,0.001156,138.278413,148.384665,8e-06,0.000559
PF3D7-1430200,0.000476,101.126042,39.430189,1.3e-05,0.000337
PF3D7-1430300,0.000481,42.756551,48.382332,1e-05,0.000224
PF3D7-1430400,0.000433,149.917711,72.664604,6e-06,0.000292
PF3D7-1430500,0.001147,180.075381,86.412419,1.3e-05,0.000773
PF3D7-1430600,0.000665,181.2001,100.01319,7e-06,0.000419
PF3D7-1430700,0.000658,232.510343,75.405242,9e-06,0.000486
PF3D7-1430800,0.000877,111.307723,86.430964,1e-05,0.000487
PF3D7-1430900,0.001778,160.120271,62.960118,2.9e-05,0.001231
PF3D7-1431000,0.00098,161.272584,115.767469,9e-06,0.000563
PF3D7-1431100,0.000697,112.165356,105.468136,7e-06,0.000354
PF3D7-1431200,0.001259,7.918156,9.485746,0.000135,0.000573
PF3D7-1431300,0.000846,69.479298,54.609529,1.6e-05,0.000469
PF3D7-1431400,0.000554,210.570454,325.073257,2e-06,0.000217
PF3D7-1431500,0.000442,118.075312,53.939107,8e-06,0.000302
PF3D7-1431600,0.000484,185.27885,72.809687,7e-06,0.000348
PF3D7-1431700,0.008047,372.318588,574.241307,1.4e-05,0.003148
PF3D7-1431800,0.000708,172.112422,157.141088,5e-06,0.000369
PF3D7-1431900,0.000481,167.002281,87.037345,6e-06,0.000315
PF3D7-1432000,0.000942,132.737725,111.460742,9e-06,0.000506
PF3D7-1432100,0.001353,153.080381,58.619352,2.4e-05,0.000978
